Class,Superorder,Order,Family,Genus,species_binomial,EDGE Scientific name
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Maculabatis,Maculabatis astra,Himantura astra
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Maculabatis,Maculabatis bineeshi,NA
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Maculabatis,Maculabatis gerrardi,Himantura gerrardi
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Maculabatis,Maculabatis macrura,NA
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Maculabatis,Maculabatis pastinacoides,Himantura pastinacoides
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Maculabatis,Maculabatis randalli,Himantura randalli
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Maculabatis,Maculabatis toshi,Himantura toshi
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Makararaja,Makararaja chindwinensis,Makararaja chindwinensis
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Megatrygon,Megatrygon microps,Dasyatis microps
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Neotrygon,Neotrygon annotata,Neotrygon annotata
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Neotrygon,Neotrygon australiae,NA
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Neotrygon,Neotrygon caeruleopunctata,NA
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Neotrygon,Neotrygon kuhlii,Neotrygon kuhlii
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Neotrygon,Neotrygon leylandi,Neotrygon leylandi
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Neotrygon,Neotrygon ningalooensis,Neotrygon ningalooensis
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Neotrygon,Neotrygon orientalis,NA
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Neotrygon,Neotrygon picta,Neotrygon picta
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Neotrygon,Neotrygon trigonoides,NA
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Neotrygon,Neotrygon varidens,NA
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Pastinachus,Pastinachus ater,Pastinachus atrus
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Pastinachus,Pastinachus gracilicaudus,Pastinachus gracilicaudus
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Pastinachus,Pastinachus sephen,Pastinachus sephen
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Pastinachus,Pastinachus solocirostris,Pastinachus solocirostris
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Pastinachus,Pastinachus stellurostris,Pastinachus stellurostris
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Pateobatis,Pateobatis bleekeri,NA
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Pateobatis,Pateobatis fai,Himantura fai
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Pateobatis,Pateobatis hortlei,Himantura hortlei
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Pateobatis,Pateobatis jenkinsii,Himantura jenkinsii
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Pateobatis,Pateobatis uarnacoides,Himantura uarnacoides
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Pteroplatytrygon,Pteroplatytrygon violacea,Pteroplatytrygon violacea
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Taeniura,Taeniura lessoni,Taeniura lymma
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Taeniura,Taeniura lymma,Taeniura lymma
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Taeniurops,Taeniurops grabatus,Taeniurops grabata
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Taeniurops,Taeniurops meyeni,Taeniurops meyeni
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Telatrygon,Telatrygon acutirostra,Dasyatis acutirostra
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Telatrygon,Telatrygon biasa,NA
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Telatrygon,Telatrygon crozieri,NA
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Telatrygon,Telatrygon zugei,Dasyatis zugei
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Urogymnus,Urogymnus acanthobothrium,NA
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Urogymnus,Urogymnus asperrimus,Urogymnus asperrimus
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Urogymnus,Urogymnus dalyensis,Himantura dalyensis
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Urogymnus,Urogymnus granulatus,Himantura granulata
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Urogymnus,Urogymnus lobistoma,Himantura lobistoma
Elasmobranchii,Batoidea,Myliobatiformes,Dasyatidae,Urogymnus,Urogymnus polylepis,Himantura polylepis
Elasmobranchii,Batoidea,Myliobatiformes,Gymnuridae,Gymnura,Gymnura altavela,Gymnura altavela
Elasmobranchii,Batoidea,Myliobatiformes,Gymnuridae,Gymnura,Gymnura australis,Gymnura australis
Elasmobranchii,Batoidea,Myliobatiformes,Gymnuridae,Gymnura,Gymnura crebripunctata,Gymnura crebripunctata
Elasmobranchii,Batoidea,Myliobatiformes,Gymnuridae,Gymnura,Gymnura japonica,Gymnura japonica
Elasmobranchii,Batoidea,Myliobatiformes,Gymnuridae,Gymnura,Gymnura lessae,Gymnura micrura
Elasmobranchii,Batoidea,Myliobatiformes,Gymnuridae,Gymnura,Gymnura marmorata,Gymnura marmorata
Elasmobranchii,Batoidea,Myliobatiformes,Gymnuridae,Gymnura,Gymnura micrura,Gymnura micrura
Elasmobranchii,Batoidea,Myliobatiformes,Gymnuridae,Gymnura,Gymnura natalensis,Gymnura natalensis
Elasmobranchii,Batoidea,Myliobatiformes,Gymnuridae,Gymnura,Gymnura poecilura,Gymnura poecilura
Elasmobranchii,Batoidea,Myliobatiformes,Gymnuridae,Gymnura,Gymnura sereti,NA
Elasmobranchii,Batoidea,Myliobatiformes,Gymnuridae,Gymnura,Gymnura tentaculata,Gymnura tentaculata
Elasmobranchii,Batoidea,Myliobatiformes,Gymnuridae,Gymnura,Gymnura zonura,Gymnura zonura
Elasmobranchii,Batoidea,Myliobatiformes,Hexatrygonidae,Hexatrygon,Hexatrygon bickelli,Hexatrygon bickelli
Elasmobranchii,Batoidea,Myliobatiformes,Mobulidae,Mobula,Mobula alfredi,Manta alfredi
Elasmobranchii,Batoidea,Myliobatiformes,Mobulidae,Mobula,Mobula birostris,Manta birostris
Elasmobranchii,Batoidea,Myliobatiformes,Mobulidae,Mobula,Mobula eregoodoo,Mobula eregoodootenkee
Elasmobranchii,Batoidea,Myliobatiformes,Mobulidae,Mobula,Mobula hypostoma,Mobula hypostoma
Elasmobranchii,Batoidea,Myliobatiformes,Mobulidae,Mobula,Mobula japanica,NA
Elasmobranchii,Batoidea,Myliobatiformes,Mobulidae,Mobula,Mobula kuhlii,Mobula kuhlii
Elasmobranchii,Batoidea,Myliobatiformes,Mobulidae,Mobula,Mobula mobular,Mobula mobular
Elasmobranchii,Batoidea,Myliobatiformes,Mobulidae,Mobula,Mobula munkiana,Mobula munkiana
Elasmobranchii,Batoidea,Myliobatiformes,Mobulidae,Mobula,Mobula rochebrunei,NA
Elasmobranchii,Batoidea,Myliobatiformes,Mobulidae,Mobula,Mobula tarapacana,Mobula tarapacana
Elasmobranchii,Batoidea,Myliobatiformes,Mobulidae,Mobula,Mobula thurstoni,Mobula thurstoni
Elasmobranchii,Batoidea,Myliobatiformes,Myliobatidae,Aetomylaeus,Aetomylaeus asperrimus,Pteromylaeus asperrimus
Elasmobranchii,Batoidea,Myliobatiformes,Myliobatidae,Aetomylaeus,Aetomylaeus bovinus,Pteromylaeus bovinus
Elasmobranchii,Batoidea,Myliobatiformes,Myliobatidae,Aetomylaeus,Aetomylaeus caeruleofasciatus,Aetomylaeus nichofii
Elasmobranchii,Batoidea,Myliobatiformes,Myliobatidae,Aetomylaeus,Aetomylaeus maculatus,Aetomylaeus maculatus
Elasmobranchii,Batoidea,Myliobatiformes,Myliobatidae,Aetomylaeus,Aetomylaeus milvus,Aetomylaeus maculatus
Elasmobranchii,Batoidea,Myliobatiformes,Myliobatidae,Aetomylaeus,Aetomylaeus nichofii,Aetomylaeus nichofii
Elasmobranchii,Batoidea,Myliobatiformes,Myliobatidae,Aetomylaeus,Aetomylaeus vespertilio,Aetomylaeus vespertilio
Elasmobranchii,Batoidea,Myliobatiformes,Myliobatidae,Aetomylaeus,Aetomylaeus wafickii,
Elasmobranchii,Batoidea,Myliobatiformes,Myliobatidae,Myliobatis,Myliobatis aquila,Myliobatis aquila
Elasmobranchii,Batoidea,Myliobatiformes,Myliobatidae,Myliobatis,Myliobatis californicus,Myliobatis californicus
Elasmobranchii,Batoidea,Myliobatiformes,Myliobatidae,Myliobatis,Myliobatis chilensis,Myliobatis chilensis
Elasmobranchii,Batoidea,Myliobatiformes,Myliobatidae,Myliobatis,Myliobatis freminvillei,Myliobatis freminvillei
Elasmobranchii,Batoidea,Myliobatiformes,Myliobatidae,Myliobatis,Myliobatis goodei,Myliobatis goodei
Elasmobranchii,Batoidea,Myliobatiformes,Myliobatidae,Myliobatis,Myliobatis hamlyni,Myliobatis hamlyni
Elasmobranchii,Batoidea,Myliobatiformes,Myliobatidae,Myliobatis,Myliobatis longirostris,Myliobatis longirostris
Elasmobranchii,Batoidea,Myliobatiformes,Myliobatidae,Myliobatis,Myliobatis peruvianus,Myliobatis peruvianus
Elasmobranchii,Batoidea,Myliobatiformes,Myliobatidae,Myliobatis,Myliobatis ridens,Myliobatis ridens
Elasmobranchii,Batoidea,Myliobatiformes,Myliobatidae,Myliobatis,Myliobatis tenuicaudatus,Myliobatis tenuicaudatus
Elasmobranchii,Batoidea,Myliobatiformes,Myliobatidae,Myliobatis,Myliobatis tobijei,Myliobatis tobijei
Elasmobranchii,Batoidea,Myliobatiformes,Plesiobatidae,Plesiobatis,Plesiobatis daviesi,Plesiobatis daviesi
Elasmobranchii,Batoidea,Myliobatiformes,Potamotrygonidae,Paratrygon,Paratrygon aiereba,
Elasmobranchii,Batoidea,Myliobatiformes,Potamotrygonidae,Plesiotrygon,Plesiotrygon iwamae,
Elasmobranchii,Batoidea,Myliobatiformes,Potamotrygonidae,Plesiotrygon,Plesiotrygon nana,
Elasmobranchii,Batoidea,Myliobatiformes,Potamotrygonidae,Potamotrygon,Potamotrygon brachyura,
Elasmobranchii,Batoidea,Myliobatiformes,Potamotrygonidae,Potamotrygon,Potamotrygon falkneri,
Elasmobranchii,Batoidea,Myliobatiformes,Potamotrygonidae,Potamotrygon,Potamotrygon histrix,
Elasmobranchii,Batoidea,Myliobatiformes,Potamotrygonidae,Potamotrygon,Potamotrygon magdalenae,
Elasmobranchii,Batoidea,Myliobatiformes,Potamotrygonidae,Potamotrygon,Potamotrygon motoro,
