"c","v_unreliability_i","v_unreliability_j","q_unreliability_i","q_unreliability_j"
4,1.43337463238469,1.92834902810078,1.62693034116429,2.63863636769819
8,0.783550491623169,0.136953932918765,0.764329891637845,0.716694480165271
12,0.364681756533781,0.636420847126978,0.308253562285171,1.19319054372073
20,0.510920670263306,0.0250034020348674,0.622810413242162,0.0309355088598285
24,0.850493624357922,0.417030761504392,1.31075292259389,1.53168329680001
31,0.180548512014388,0.606136171640156,0.0773231375420367,1.05648038912484
32,0.0954004799015943,0.26660835291711,0.09862475195054,0.768868027152751
36,0.794305806298054,0.333948217884577,0.863087495206292,1.09728778720358
40,0.626077746871213,0.546378576657389,0.702357808650575,1.20723165255076
44,1.2887470676744,0.916587298543572,1.78995030853785,1.86927387186414
48,0.939448946935243,0.322695706669087,0.991753317478672,0.906117615507652
50,1.04164687947387,0.524575365460362,1.26872107378192,1.22142188153987
51,0.03617887238911,0.349291084488215,0.201746426105103,1.03465896588326
52,0.61108453264979,0.477747239702133,0.853455683258197,1.18411064928299
56,0.787780619766257,0.364775103697819,0.86985266103641,1.13508728090401
60,1.65205148036435,0.602773767144019,1.07308989255229,1.53148657547723
64,1.36682288696914,0.512441391617342,1.18027049984121,2.08822666304913
68,0.102006080298379,0.37848042113481,0.118290961505293,1.14479056727465
70,0.294057431197535,0.244604148026829,0.277549993121273,0.797282381065303
72,0.610324823041758,0.227356375143544,0.387130863108387,1.42998313845094
76,0.24148397093176,0.332158265758848,0.265764931177788,0.91867127007771
84,0.480994042129975,0.396412194698402,1.00232654811574,1.84409462692648
90,1.31421814221047,0.394459989606039,1.75825960671578,1.5165580648368
96,0.929069076068599,0.503875222952389,0.761013343302589,1.40077015379096
100,0.661593114676424,0.074787649545084,0.667355668809937,0.8452357253172
104,1.5617714619895,1.28402055622231,1.77457601697214,2.13757039693199
108,1.4094140266469,0.41861253029067,1.49036006780868,1.3363587141599
112,0.012311924636638,0.459663191492382,0.120535307226692,1.06697727965315
116,1.71488979021613,1.12406419838628,1.46424897318624,1.86441263899952
120,0.724649759753461,0.604886909954296,0.826503423118356,1.20593402246769
124,0.454113197871485,0.478690171310544,0.579873269895378,1.1946477439426
132,0.742101479600947,0.191300731799055,0.783903973325804,0.963264354734118
140,1.53780149216541,0.795077632142656,1.15902987497723,1.53904619903851
144,0.624231691257587,0.371918292438986,0.634909104893294,1.12409255016854
152,0.357915383054328,0.222955554940537,0.263704248753675,0.91515954629215
156,0.797504944208609,0.774371781285219,0.912056558380541,1.31373037404239
170,0.147417225802156,0.312668778090452,0.26869710214666,0.891966875809493
174,1.19929361956609,0.878850823776442,0.932841770661544,1.58517395819615
