"c","v_unreliability_i","v_unreliability_j","q_unreliability_i","q_unreliability_j"
478,1.58919904418187,1.45578274631687,1.3589894439128,1.88340824573712
480,0.399533396878041,0.324133218463912,0.697301635675658,1.06569300631236
484,0.743490556548312,0.583618609469418,0.683725832414649,1.22382461234893
490,0.746007389286833,0.477603178662981,0.808748755500227,1.10381207223637
496,0.378983248192992,0.310784502370573,0.0932034308585747,1.06341727152552
498,0.131818700599351,0.307240290056229,0.0909723317671421,0.853730670035151
499,0.207176962259274,0.204705476712211,0.205847133659987,0.827027803070546
504,0.912248090831846,0.510230496064354,0.69061851464697,1.05088684170705
508,1.38161276837447,0.4874270483507,1.72714517413395,2.18928805163343
512,0.83791097136737,0.384768567713296,0.949631079384334,0.977628557590411
516,0.880861422678298,0.130698765394913,0.631735401648972,1.32212857627898
524,0.635661884644967,0.555362055269586,0.785419624704086,1.53750978280547
528,0.85702271741466,0.526033577861765,0.992061513464777,1.39734610351981
533,1.23733817806012,0.672576007655397,0.931792653574428,1.41960590830715
540,0.402987468565529,0.425302675575417,0.427044738954309,0.973319218086607
554,0.58326821670984,0.320080746134946,0.617445041753195,1.04233939546463
558,0.2393911461536,0.494318309517658,0.0478752972696398,1.15510601534794
562,2.07124965052632,0.805404776894166,2.45685954753932,1.55380889008491
566,1.14185553006373,1.03752609810253,1.452910279689,2.00610399411854
579,0.612495445846581,0.38802768716395,0.609071827947745,0.902184206776423
585,2.34489840788776,0.462880193905315,1.69112143095565,1.5708943999696
586,1.01221491601541,0.643416905403342,1.18444683205396,1.60854704180302
591,1.66016855055551,1.1342621851049,1.59911445290608,1.99250811203837
598,1.26108717233054,0.567465268318452,3.87245824445865,2.88002362217889
600,0.0319680344677379,0.1868458808944,0.0345248513055543,0.834364968504937
604,0.210548216294161,0.317068030508402,0.247262786294108,0.864537135082992
608,1.3179491029841,0.554250238506359,1.124841806814,1.29095305953052
616,0.619077246253669,0.565678128169499,0.652317443934284,1.20923820991021
620,0.70543000632012,0.227880018622955,0.744269161687299,0.980237185753386
634,1.02097840345005,0.581166980941871,0.915086623898739,1.19806489153673
642,0.820122488943879,0.161338948361617,0.718354500338528,0.917004507871327
643,0.339380546643889,0.649050822659239,0.362337321658412,1.06134622929403
646,1.07644897443257,0.556568949180006,0.896103429807292,1.4441193479068
662,0.693809734613705,0.47654699484497,0.60083470256715,1.19056345283813
682,0.980243965853439,0.872397989746351,1.04724787096325,1.55346592586159
686,0.683694763582123,0.830630464901231,0.651839927707497,1.45672564133762
688,0.258205447978126,0.486589656922736,0.23874729442227,1.10440074322826
690,1.42030800777898,0.251796462233132,1.34002965036431,1.07701147883201
694,1.96703500041303,0.930391031234043,2.10726169002877,1.7285907958157
699,0.680558502629466,0.505550719769106,0.791490626039949,1.2814563530678
702,1.28745162897113,0.492695901667027,1.23872433863706,1.30656319891527
703,0.737913749549399,0.689175608317261,0.75976482719631,1.36837196955191
704,0.689726731188924,0.755006313354247,0.958280609903147,1.53050470097899
705,0.521219331417473,0.421468614099067,0.586008925299467,1.06029498550413
710,0.382829408933625,0.266220722733696,0.876724150902004,2.08538069083894
716,0.644294060741208,0.261813928948037,0.306075162094013,1.14839000505471
724,0.636798658336185,0.377821765859898,0.70264357937488,1.10310402951505
729,1.07229838803618,0.995074045659965,1.14169970862604,1.73269777711339
748,0.0889832098340743,0.0262755116076052,0.632982515851284,1.07344765207047
752,0.656438824213326,0.255424938502207,0.728120236690472,1.01839771772906
757,0.505908804484158,0.180502074668236,0.57484024916624,0.720561246203288
764,0.775309521085501,0.481790899520117,0.730031835080699,1.04721111126255
768,1.31701135836154,1.13582215621059,1.01304646117561,1.63166880110574
776,1.23812038356462,0.459770356169726,0.915007779578442,1.74154088017565
784,1.31220324719633,0.550621100105212,1.37725885538441,1.17118689247491
788,0.975232245135063,0.516839810049631,0.670817744921201,1.06319318243474
792,0.482416366420245,0.384278852843525,0.500695356930134,0.900452650734641
800,0.385667071955672,0.489376112653636,0.329169046241114,1.54871585571994
804,0.103297699996183,0.463803563427032,0.0230048504765837,0.940167019408488
807,0.179369401458197,0.261055871400227,0.179441031096369,0.831060763898344
818,1.04238494970177,0.880685291599224,1.15432331177327,1.76795493695316
826,0.658247072585889,0.358756172977429,0.852513084973054,1.14260290623296
834,1.23129280289194,0.559915399652679,0.832499189300639,1.30605289109843
842,0.653112178600754,0.396900543030123,0.873045912042806,1.11880612116156
854,1.29086668622488,0.892385703681339,1.12076096345541,1.75124260020438
858,0.109554800006265,0.161688805387037,0.0662386910653532,0.728173342251568
860,0.0375653535799009,0.418189200809299,0.121957994759229,1.08215203572808
882,0.897818086839672,0.433173788223652,1.21103720904573,1.63618161381372
887,1.18277903949526,1.37780779018663,1.19353382235386,1.8490647559162
894,0.924595707163424,0.328796054711384,0.352040720544962,1.24996496262369
