RFMO,Year,faoEN,faoSp,Common,Species,Binding,Measure,Note1,Note2,Note3,Note4
CITES,2022,Creek whaler,Carcharhinus fitzroyensis,NA,Carcharhinus fitzroyensis,binding,Appendix,Binding,CITES Appendix II - Carcharhinus fitzroyensis (Creek whaler).,NA,NA
CITES,2022,Galapagos shark,Carcharhinus galapagensis,Galapagos shark,Carcharhinus galapagensis,binding,Appendix,Binding,CITES Appendix II - Carcharhinus galapagensis (Galapagos shark).,NA,NA
CITES,2022,Pondicherry shark,Carcharhinus hemiodon,NA,Carcharhinus hemiodon,binding,Appendix,Binding,CITES Appendix II - Carcharhinus hemiodon (Pondicherry shark).,NA,NA
CITES,2022,Finetooth shark,Carcharhinus isodon,NA,Carcharhinus isodon,binding,Appendix,Binding,CITES Appendix II - Carcharhinus isodon (Finetooth shark).,NA,NA
CITES,2022,NA,Carcharhinus leiodon,NA,Carcharhinus leiodon,binding,Appendix,Binding,CITES Appendix II - Carcharhinus leiodon.,NA,NA
CITES,2022,Bull shark,Carcharhinus leucas,NA,Carcharhinus leucas,binding,Appendix,Binding,CITES Appendix II - Carcharhinus leucas (Bull shark).,NA,NA
CITES,2022,Blacktip shark,Carcharhinus limbatus,NA,Carcharhinus limbatus,binding,Appendix,Binding,CITES Appendix II - Carcharhinus limbatus (Blacktip shark).,NA,NA
CMS,2020,NA,Carcharhinus longimanus,NA,Carcharhinus longimanus,binding,Appendix,Non Binding,"CMS Appendices I & II, Sharks (2018) - Oceanic White-tip Shark (Carcharhinus longimanus).",NA,NA
ICCAT,2010,Oceanic whitetip shark,Carcharhinus longimanus,Oceanic whitetip shark,Carcharhinus longimanus,binding,Recommendation,Rec. 10-07Binding,Recommendation by ICCAT on the Conservation of Oceanic Whitetip Shark Caught in Association with Fisheries in the ICCAT Convention Area.,NA,NA
IATTC,2011,Oceanic whitetip shark,Carcharhinus longimanus,Oceanic whitetip shark,Carcharhinus longimanus,binding,Resolution,Resolution C-11-10Binding,Resolution on the Conservation of Oceanic Whitetip Sharks Caught in Association with Fisheries in the Antigua Convention Area.,NA,NA
CITES,2013,Oceanic whitetip shark,Carcharhinus longimanus,Oceanic whitetip shark,Carcharhinus longimanus,binding,Appendix,Binding,CITES Appendix II - Carcharhinus longimanus (Oceanic whitetip shark).,NA,NA
CITES,2022,Hardnose shark,Carcharhinus macloti,NA,Carcharhinus macloti,binding,Appendix,Binding,CITES Appendix II - Carcharhinus macloti (Hardnose shark).,NA,NA
CITES,2022,Blacktip reef shark,Carcharhinus melanopterus,NA,Carcharhinus melanopterus,binding,Appendix,Binding,CITES Appendix II - Carcharhinus melanopterus (Blacktip reef shark).,NA,NA
CMS,2017,Dusky shark,Carcharhinus obscurus,Dusky shark,Carcharhinus obscurus,binding,Appendix,Non Binding,"CMS Appendix II, Sharks (2018) - Carcharhinus obscurus (Dusky shark).",NA,NA
CITES,2022,Dusky shark,Carcharhinus obscurus,Dusky shark,Carcharhinus obscurus,binding,Appendix,Binding,CITES Appendix II - Carcharhinus obscurus (Dusky shark).,NA,NA
CITES,2022,Caribbean reef shark,Carcharhinus perezi,NA,Carcharhinus perezi,binding,Appendix,Binding,CITES Appendix II - Carcharhinus perezi (Caribbean reef shark).,NA,NA
CITES,2022,Sandbar shark,Carcharhinus plumbeus,Sandbar shark,Carcharhinus plumbeus,binding,Appendix,Binding,CITES Appendix II - Carcharhinus plumbeus (Sandbar shark).,NA,NA
CITES,2022,Smalltail shark,Carcharhinus porosus,NA,Carcharhinus porosus,binding,Appendix,Binding,CITES Appendix II - Carcharhinus porosus (Smalltail shark).,NA,NA
CITES,2022,Blackspot shark,Carcharhinus sealei,NA,Carcharhinus sealei,binding,Appendix,Binding,CITES Appendix II - Carcharhinus sealei (Blackspot shark).,NA,NA
CITES,2022,Night shark,Carcharhinus signatus,NA,Carcharhinus signatus,binding,Appendix,Binding,CITES Appendix II - Carcharhinus signatus (Night shark).,NA,NA
CITES,2022,Spottail shark,Carcharhinus sorrah,NA,Carcharhinus sorrah,binding,Appendix,Binding,CITES Appendix II - Carcharhinus sorrah (Spottail shark).,NA,NA
CITES,2022,Australian blacktip shark,Carcharhinus tilstoni,NA,Carcharhinus tilstoni,binding,Appendix,Binding,CITES Appendix II - Carcharhinus tilstoni (Australian blacktip shark).,NA,NA
CMS,2002,Great white shark,Carcharodon carcharias,Great White Shark,Carcharodon carcharias,binding,Appendix,Non Binding,"CMS Appendices I & II, Sharks (2010) - Carcharodon carcharias (Great white shark).",NA,NA
CITES,2005,Great white shark,Carcharodon carcharias,Great White Shark,Carcharodon carcharias,binding,Appendix,Binding,CITES Appendix II - Carcharodon carcharias (Great white shark).,NA,NA
CITES,2003,Basking shark,Cetorhinus maximus,Basking shark,Cetorhinus maximus,binding,Appendix,Binding,CITES Appendix II - Cetorhinus maximus (Basking shark).,NA,NA
CMS,2005,Basking shark,Cetorhinus maximus,Basking shark,Cetorhinus maximus,binding,Appendix,Non Binding,"CMS Appendices I & II, Sharks (2010) - Cetorhinus maximus (Basking shark).",NA,NA
NEAFC,2024,Basking shark,Cetorhinus maximus,Basking shark,Cetorhinus maximus,binding,Recommendation,Recommendation 07:2024BindingReplaces,Recommendation on Conservation and Management Measures for Basking Shark (Cetorhinus maximus) in the NEAFC Regulatory Area from 2024 to 2027.,NA,NA
CITES,2022,Winghead shark,Eusphyra blochii,Winghead shark,Eusphyra blochii,binding,Appendix,Binding,CITES Appendix II - Eusphyra blochii (Winghead shark).,NA,NA
CMS,2020,Tope shark,Galeorhinus galeus,Tope shark,Galeorhinus galeus,binding,Appendix,Non Binding,"CMS Appendix II, Sharks (2023) - Tope Shark (Galeorhinus galeus).",NA,NA
CITES,2019,Blackchin guitarfish,Glaucostegus cemiculus,Blackchin guitarfish,Glaucostegus cemiculus,binding,Appendix,Binding,CITES Appendix II - Glaucostegus cemiculus (Blackchin guitarfish).,NA,NA
CITES,2019,Granulated guitarfish,Glaucostegus granulatus,Granulated guitarfish,Glaucostegus granulatus,binding,Appendix,Binding,CITES Appendix II - Glaucostegus granulatus (Granulated guitarfish).,NA,NA
CITES,2019,Halavi ray,Glaucostegus halavi,Halavi ray,Glaucostegus halavi,binding,Appendix,Binding,CITES Appendix II - Glaucostegus halavi (Halavi ray).,NA,NA
CITES,2019,NA,Glaucostegus obtusus,Widenose guitarfish,Glaucostegus obtusus,binding,Appendix,Binding,CITES Appendix II - Glaucostegus obtusus (Widenose guitarfish).,NA,NA
CITES,2019,Thouin ray,Glaucostegus thouin,Thouin ray,Glaucostegus thouin,binding,Appendix,Binding,CITES Appendix II - Glaucostegus thouin (Thouin ray).,NA,NA
CITES,2019,Giant shovelnose ray,Glaucostegus typus,Giant shovelnose ray,Glaucostegus typus,binding,Appendix,Binding,CITES Appendix II - Glaucostegus typus (Giant shovelnose ray).,NA,NA
CITES,2022,Ganges shark,Glyphis gangeticus,NA,Glyphis gangeticus,binding,Appendix,Binding,CITES Appendix II - Glyphis gangeticus (Ganges shark).,NA,NA
CITES,2022,Speartooth shark,Glyphis glyphis,NA,Glyphis glyphis,binding,Appendix,Binding,CITES Appendix II - Glyphis glyphis (Speartooth shark).,NA,NA
CMS,2008,Shortfin mako,Isurus oxyrinchus,Shortfin mako,Isurus oxyrinchus,binding,Appendix,Non Binding,"CMS Appendix II, Sharks (2010) - Isurus oxyrinchus (Shortfin mako).",NA,NA
CITES,2019,Shortfin mako,Isurus oxyrinchus,Shortfin mako,Isurus oxyrinchus,binding,Appendix,Binding,CITES Appendix II - Isurus oxyrinchus (Shortfin mako).,NA,NA
ICCAT,2021,Shortfin mako,Isurus oxyrinchus,Shortfin mako,Isurus oxyrinchus,binding,Recommendation,Rec. 21-09Binding,Recommendation by ICCAT on the conservation of the North Atlantic stock of shortfin mako caught in association with ICCAT fisheries.,NA,NA
ICCAT,2022,Shortfin mako,Isurus oxyrinchus,Shortfin mako,Isurus oxyrinchus,binding,Recommendation,Rec. 22-11Binding,Recommendation by ICCAT on the conservation of the South Atlantic stock of shortfin mako caught in association with ICCAT fisheries.,NA,NA
CMS,2008,Longfin mako,Isurus paucus,Longfin Mako,Isurus paucus,binding,Appendix,Non Binding,"CMS Appendix II, Sharks (2010) - Isurus paucus (Longfin mako).",NA,NA
CITES,2019,Longfin mako,Isurus paucus,Longfin Mako,Isurus paucus,binding,Appendix,Binding,CITES Appendix II - Isurus paucus (Longfin Mako).,NA,NA
CITES,2022,Broadfin shark,Lamiopsis temmincki,NA,NA,binding,Appendix,Binding,CITES Appendix II - Lamiopsis temmincki (Broadfin shark).,NA,NA
CMS,2008,Porbeagle,Lamna nasus,Porbeagle,Lamna nasus,binding,Appendix,Non Binding,"CMS Appendix II, Sharks (2010) - Lamna nasus (Porbeagle).",NA,NA
CITES,2013,Porbeagle,Lamna nasus,Porbeagle,Lamna nasus,binding,Appendix,Binding,CITES Appendix II - Lamna nasus (Porbeagle).,NA,NA
ICCAT,2015,Porbeagle,Lamna nasus,Porbeagle,Lamna nasus,binding,Recommendation,Rec. 15-06Binding,Recommendation by ICCAT on Porbeagle caught in association with ICCAT fisheries.,NA,NA
NEAFC,2024,Porbeagle,Lamna nasus,Porbeagle,Lamna nasus,binding,Recommendation,Recommendation 11:2024BindingReplaces,Recommendation on Conservation and Management Measures for Porbeagle (Lamna nasus) in the NEAFC Regulatory Area in 2024.,NA,NA
CITES,2022,Sliteye shark,Loxodon macrorhinus,NA,Loxodon macrorhinus,binding,Appendix,Binding,CITES Appendix II - Loxodon macrorhinus (Sliteye shark).,NA,NA
CITES,2013,Giant manta,Mobula birostris,Giant Manta Ray,Mobula birostris,binding,Appendix,Binding,CITES Appendix II - Manta birostris (Giant manta ray).,NA,NA
CMS,2011,Giant manta,Mobula birostris,NA,Mobula birostris,binding,Appendix,Non Binding,"CMS Appendices I & II, Sharks (2016) - Manta birostris (Giant manta).",NA,NA
CMS,2014,Longhorned mobula,Mobula eregoodoo,Longhorned mobula,Mobula eregoodoo,binding,Appendix,Non Binding,"CMS Appendices I & II, Sharks (2016) - Mobula eregoodootenkee (Longhorned mobula).",NA,NA
CITES,2017,Longhorned mobula,Mobula eregoodoo,Longhorned mobula,Mobula eregoodoo,binding,Appendix,Binding,CITES Appendix II - Mobula eregoodootenkee (Longhorned mobula).,NA,NA
CMS,2014,Lesser devil ray,Mobula hypostoma,Lesser devil ray,Mobula hypostoma,binding,Appendix,Non Binding,"CMS Appendices I & II, Sharks (2016) - Mobula hypostoma (Lesser devil ray).",NA,NA
CITES,2017,Lesser devil ray,Mobula hypostoma,Lesser devil ray,Mobula hypostoma,binding,Appendix,Binding,CITES Appendix II - Mobula hypostoma (Lesser devil ray).,NA,NA
CMS,2014,Shortfin devil ray,Mobula kuhlii,Shortfin devil ray,Mobula kuhlii,binding,Appendix,Non Binding,"CMS Appendices I & II, Sharks (2016) - Mobula kuhlii (Shortfin devil ray).",NA,NA
CITES,2017,Shortfin devil ray,Mobula kuhlii,Shortfin devil ray,Mobula kuhlii,binding,Appendix,Binding,CITES Appendix II - Mobula kuhlii (Shortfin devil ray).,NA,NA
CITES,2017,Devil fish,Mobula mobular,Devil fish,Mobula mobular,binding,Appendix,Binding,CITES Appendix II - Mobula mobular (Devil fish).,NA,NA
CMS,2014,NA,Mobula mobular,NA,Mobula mobular,binding,Appendix,Non Binding,"CMS Appendices I & II, Sharks (2016) - Mobula mobular (Manta mobula).",NA,NA
