Subclass,Superorder,species,30488,30265,30281,30375,30381,30447,30456,30496,30282,30382,30448,30457,30497
Elasmobranchii,Batoidea,Amblyraja georgiana,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Sympterygia acuta,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Bathyraja brachyurops,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Bathyraja eatonii,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Atlantoraja cyclophora,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Bathyraja macloviana,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Rioraja agassizii,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Sympterygia bonapartii,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Atlantoraja castelnaui,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Zearaja chilensis,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Bathyraja irrasa,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Bathyraja murrayi,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Amblyraja taaf,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Pseudobatos percellens,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Gymnura marmorata,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Hypanus longus,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Amblyraja hyperborea,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Raja brachyura,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Notoraja azurea,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Myliobatis aquila,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Dasyatis pastinaca,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Dipturus oxyrinchus,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Raja asterias,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Pteroplatytrygon violacea,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Leucoraja circularis,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Leucoraja fullonica,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Raja microocellata,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Raja montagui,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Raja clavata,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Raja undulata,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Rostroraja alba,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Raja miraletus,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Bathyraja maccaini,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Hypanus americanus,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Dipturus nasutus,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Dipturus innominatus,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Rhinoptera steindachneri,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Pseudobatos planiceps,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Gymnura altavela,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Rhinobatos rhinobatos,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Raja maderensis,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Bathytoshia centroura,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Beringraja binoculata,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Rhinoptera bonasus,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Leucoraja erinacea,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Myliobatis goodei,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Anoxypristis cuspidata,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Aptychotrema rostrata,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Dasyatis thetidis,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Dentiraja cerva,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Gymnura australis,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Mobula birostris,1,0,0,0,0,0,0,0,1,1,1,1,1
Elasmobranchii,Batoidea,Neotrygon kuhlii,1,0,0,0,0,0,0,0,1,1,1,1,1
