Exporter,Original,Reduced,year,group,Net_diff
USA,58082.442,35308.21275409086,462351,sharkssharksrayssharksrayssharksraysrayssharksrayssharksrayssharksrayssharksrayssharksraysraysrayssharkssharksrayssharkssharksraysrayssharkssharksrayssharksrayssharksraysraysraysrayssharksraysraysrayssharkssharkssharkssharksrayssharksrayssharksrayssharksraysrayssharksrayssharksrayssharkssharksrayssharksraysrayssharksrayssharkssharkssharksraysrayssharkssharksrayssharkssharksraysrayssharksraysrayssharkssharksraysrayssharksrayssharkssharkssharksraysraysraysrayssharkssharkssharksraysraysraysrayssharkssharkssharksrayssharksrayssharksrayssharksraysrayssharksrayssharksrayssharkssharksrayssharksraysrayssharksrayssharkssharkssharksraysrayssharkssharksrayssharkssharksraysrayssharksraysrayssharkssharksraysrayssharksrayssharkssharkssharksraysraysraysrayssharkssharkssharksraysraysraysrayssharkssharkssharksrayssharksrayssharksrayssharksraysrayssharksrayssharksrayssharkssharksrayssharksraysrayssharksrayssharkssharkssharksraysrayssharkssharksrayssharkssharksraysrayssharksraysrayssharkssharksraysrayssharksrayssharkssharkssharksraysraysraysrayssharkssharkssharksraysraysraysrayssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharks,22774.229245909137
Senegal,36762.3388,14807.931563748429,244210,sharkssharkssharksrayssharksrayssharksrayssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharksraysrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharksrayssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharksrayssharkssharkssharkssharkssharksrayssharkssharkssharksraysrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharksrayssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharksrayssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharksrayssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharks,21954.407236251573
South Africa,27270.243516490224,12750.459585032268,343034,sharkssharkssharkssharksrayssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharksraysrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksraysrayssharkssharkssharksrayssharkssharkssharkssharksrayssharksrayssharkssharkssharkssharkssharksrayssharkssharkssharksrayssharkssharksrayssharksrayssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharksrayssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharksrayssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharksrayssharkssharkssharkssharksrayssharksrayssharksrayssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharksrayssharkssharkssharkssharksrayssharksrayssharksrayssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharksrayssharkssharkssharkssharksrayssharksrayssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharks,14519.783931457958
Denmark,15322.614195099615,1019.4256076233016,762459,sharkssharksrayssharksrayssharksrayssharksrayssharksrayssharkssharksrayssharkssharksrayssharksrayssharksrayssharksrayssharksrayssharkssharkssharksrayssharksrayssharkssharksrayssharksrayssharksraysrayssharksrayssharksrayssharkssharkssharkssharksrayssharksrayssharksrayssharksrayssharkssharkssharkssharksrayssharksrayssharksrayssharksrayssharkssharkssharkssharkssharkssharksrayssharksrayssharksrayssharkssharkssharkssharkssharksrayssharksrayssharksrayssharkssharksrayssharksrayssharkssharkssharkssharksrayssharksrayssharksrayssharkssharkssharksrayssharksrayssharksraysrayssharksrayssharksrayssharkssharkssharksrayssharksraysrayssharksrayssharkssharkssharksraysrayssharksraysrayssharksrayssharksrayssharkssharksrayssharksrayssharksrayssharkssharksrayssharksrayssharksrayssharksrayssharksrayssharkssharksrayssharkssharksrayssharkssharkssharksrayssharksrayssharksrayssharkssharkssharksrayssharksrayssharksraysrayssharkssharkssharkssharksrayssharkssharksrayssharkssharkssharksrayssharksrayssharkssharkssharkssharkssharkssharksrayssharksraysraysrayssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharksraysrayssharkssharksraysrayssharkssharkssharksrayssharksrayssharkssharksrayssharkssharkssharkssharkssharkssharkssharksrayssharksraysrayssharkssharksrayssharkssharkssharkssharksrayssharkssharksrayssharksrayssharkssharkssharksrayssharkssharkssharksrayssharkssharkssharkssharksrayssharksrayssharksrayssharkssharkssharkssharksrayssharksraysrayssharkssharksrayssharkssharkssharksrayssharksrayssharkssharksraysrayssharkssharksrayssharkssharkssharksrayssharkssharkssharkssharksrayssharksrayssharksrayssharkssharkssharkssharksrayssharksraysrayssharkssharksrayssharkssharkssharksrayssharksrayssharkssharksraysrayssharkssharksrayssharkssharkssharksrayssharkssharkssharkssharksrayssharksrayssharksrayssharkssharkssharkssharksrayssharksraysrayssharkssharksrayssharkssharkssharksrayssharksrayssharkssharksraysrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharks,14303.188587476314
Ireland,13049.5028,0.0,308553,sharksrayssharksraysrayssharksrayssharksraysrayssharksrayssharksrayssharksrayssharksrayssharksraysrayssharkssharksraysrayssharkssharksrayssharksrayssharkssharksrayssharkssharksraysraysrayssharksrayssharkssharkssharksraysrayssharkssharksrayssharkssharkssharksraysraysrayssharksrayssharksrayssharksraysrayssharkssharksrayssharkssharksraysrayssharksrayssharksraysraysrayssharksrayssharksraysraysraysraysrayssharksrayssharksraysraysraysrayssharksraysraysraysrayssharksraysraysrayssharksrayssharkssharksraysrayssharksrayssharksraysraysraysrayssharksrayssharksraysraysraysraysrayssharksrayssharksraysraysraysrayssharksraysraysraysrayssharksraysraysraysrayssharksraysraysraysrayssharksraysraysraysrayssharksraysraysraysrayssharksrays,13049.5028
Belize,17300.9106,6517.76138416365,92752,sharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksraysrayssharksraysrayssharkssharkssharkssharkssharksraysrayssharksraysrayssharksraysrayssharksraysrays,10783.14921583635
Argentina,30324.1248,23336.766586407834,48408,sharksraysrayssharkssharkssharksraysraysrayssharksraysrayssharksraysraysrayssharkssharksraysraysraysrayssharkssharks,6987.358213592167
Seychelles,6800.182546351263,0.0,112975,sharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharks,6800.182546351263
Croatia,6276.3268,0.0,171453,sharksrayssharkssharksrayssharkssharkssharksrayssharkssharksrayssharksrayssharksrayssharkssharkssharksrayssharksrayssharkssharksrayssharkssharksrayssharksrayssharkssharksrayssharksrayssharkssharksrayssharksrayssharkssharkssharksrayssharksrayssharkssharkssharkssharkssharksrayssharkssharksrayssharkssharkssharkssharkssharksrayssharkssharksrayssharkssharkssharkssharkssharksrayssharkssharksrayssharkssharkssharkssharkssharksrayssharkssharksrayssharkssharkssharks,6276.3268
Mauritius,6050.748234394905,0.0,92729,sharksrayssharkssharkssharkssharkssharksrayssharkssharkssharkssharksrayssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharks,6050.748234394905
Côte d'Ivoire,5704.918,0.0,20188,sharkssharkssharkssharkssharkssharkssharkssharkssharkssharks,5704.918
Belgium,11195.5916,5789.187432314132,175593,sharksraysraysraysraysraysrayssharksraysrayssharksraysrayssharksrayssharksrayssharksraysraysrayssharksrayssharksrayssharksraysrayssharksrayssharkssharksraysraysraysraysraysrayssharksraysrayssharksrayssharksrayssharksrayssharksrayssharkssharksraysraysraysrayssharksrayssharksraysrayssharksrayssharksraysraysraysrayssharksrayssharksraysrayssharksrayssharksraysraysraysrayssharksrayssharksraysrayssharksrayssharks,5406.404167685869
Suriname,5397.712,0.0,119003,sharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharksraysrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksraysrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharks,5397.712
Marshall Isds,4778.228,0.0,34295,sharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharks,4778.228
Falkland Isds (Malvinas),4269.1332,0.0,46379,raysraysraysraysraysraysrayssharksraysraysraysraysraysraysraysraysrayssharksrayssharksrayssharksrays,4269.1332
Ecuador,17311.3312,13097.520029861042,78727,raysrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharks,4213.811170138959
